ULISS,ULISSE_SRL@LEGALMAIL.IT
SEVEN,AMMINISTRAZIONE@PEC.GRUPPOPOLI.IT
SMA,DIREZIONESMA@PEC.IT
TESI,INGROSSOTESINI@CGN.LEGALMAIL.IT 
FACCH,FACCHININATURA@PEC.IT
BELFR,INFO@PEC.BELFRUTTASRL.IT
NUOVA,NUOVAANNAFRUTTA@LEGALMAIL.IT
SPECI,SPECIALFRUTTASAS@PEC-SERVIZIASSOCIATI.COM
GOBBI,GOBBIFRUTTASRL@LEGALMAIL.IT
DANFR,DANFRUTTASNC@LEGALMAIL.IT
CAST2,ORTOFRUTTACASTELLOSRL@LEGALMAIL.IT
EUROA,EUROARICI@PEC.BUFFETTI.IT
MORIN,MORINI_PAGANI@ALTRAPEC.COM
UNICA,
GARLE,GARLETTI@PEC.GARLETTIFRUTTA.IT
PRIMF,PRIMOFIORESRL@PEC.IT
BRUN2,BRUNOSRL@PEC.FEDAGRO.IT
NAPO2,GRUPPONAPOLEON@PEC.FEDAGRO.IT
FTESI,FLLITESISRL@PEC.IT
STEMI,ORTO.STE.MI@LEGALMAIL.IT
GIAC1,ORTOFRUTTAGIACOBBE@PECCONFESERCENTIRO.IT
MORAN,MORANDINIAMELIA@PEC.IT
BTR,BTRSNC1@PEC.IT
MAEST,MAESTRIORTOFRUTTA@PEC.IT
DEAN2,DEANGELISGROUP@PEC.ASCOM.BO.IT
BRUNF,BRUNGELMINO@LEGALMAIL.IT
ORVER,ORTOVERDE.SNC@LEGALMAIL.IT
DI.CO,DICOSRL@LEGALMAIL.IT
MARTI,MARTINELLI@PEC.MARTINELLISUPERMERCATI.IT
CALIM,CALIMERO.SRL@LEGALMAIL.IT
SGUJI,
COREX,COREXSRLPEC@PEC.IT
L'OR,LORTOLANA.PESCE@PEC.IT
NIZZ2,NELLONIZZO@LEGALMAIL.IT
AMATO,AMATOSRL@LEGALMAIL.IT
DICAM,CAMPAGNAROSNC@PEC.IT
CHIE3,CHIESOLE@LEGALMAIL.IT
TERR3,TERRAMORE@PEC.IT
FORN2,FORNARIGIUSEPPE@LEGALMAIL.IT
ORTO2,ORTOGREENLUSIA@LEGALMAIL.IT
BARCO,BARATELLA@PEC.IT
EURAG,EUROAGRICOLASANMICHELE@PEC.IT
4MYSE,
LAME2,LAMEDIGLIAFRUTTA@PEC.IT
ORTOL,VOLANTIMASSIMO@PEC.IT
AZGI,
BOLLA,FERDINANDO.BOLLA@PEC.IT
LEOPA,LEOPARDI-SNC@PEC.IT
SALVA,
CHRIS,
TUZZA,
BENIE,
BRUN1,
FERRN,FERRANDO@ARUBAPEC.IT
PITTO,PITTONISRL@LEGALMAIL.IT
HEINR,
TRAN2,CONSORZIOAUTOTRASPORTATORITRANSLUSIA@LAMIAPEC.IT
MAROC,FRATELLIMAROCCASRL@CGN.LEGALMAIL.IT
PAROD,ANTONIOEGIUSEPPEPARODI@PEC.IT
ELIO,BRUNOELIO@PEC.IT
MONDO,INFO@PEC.MONDOBIO.EU
HORTU,HORTUSNOVUSCOMMERCIUMSRL@LEGALMAIL.IT
CORTE,
ESPOS,
GIMM2,
TIEFF,LATIEFFE@PEC.IT
ORTO3,ORTOROSASNC@LEGALMAIL.IT
CASTA,CASTAGNARESE.ROMANI@LEGALMAIL.IT
TRIFR,
GREE5,INFO@GREENFRUIT.PECNEROAVORIO.IT
ORSTE,
BELLI,BELLINIORTOFRUTTA@LEGALMAIL.IT
CIOC2,
PRIMO,PRIMOMATTINOBARATELLA@LEGALMAIL.IT
MACER,
TARCI,
MUNAR,
LORAL,LORALUCASRL@LAMIAPEC.IT
